transactionId,accountId,customerId,transactionType,amount,transactionDate,merchant,location,status
TXN045,ACC004,CUST004,DEBIT,89.01,2024-01-09,Online Shopping,Houston,SUCCESS
TXN046,ACC005,CUST005,CREDIT,100.00,2024-01-06,Refund,Phoenix,SUCCESS
TXN047,ACC005,CUST005,DEBIT,45.67,2024-01-06,Movie Theater,Phoenix,SUCCESS
TXN048,ACC005,CUST005,DEBIT,78.90,2024-01-07,Pet Store,Phoenix,SUCCESS
TXN049,ACC005,CUST005,DEBIT,23.45,2024-01-08,Ice Cream Shop,Phoenix,SUCCESS
TXN050,ACC005,CUST005,DEBIT,156.78,2024-01-09,Hardware Store,Phoenix,SUCCESS
TXN051,ACC001,CUST001,CREDIT,75.00,2024-01-10,Survey Reward,New York,SUCCESS
TXN052,ACC001,CUST001,DEBIT,234.50,2024-01-10,Online Course,New York,SUCCESS
TXN053,ACC001,CUST001,DEBIT,45.00,2024-01-11,Gym Membership,New York,SUCCESS
TXN054,ACC001,CUST001,DEBIT,178.90,2024-01-12,Electronics,New York,SUCCESS
TXN055,ACC001,CUST001,DEBIT,56.70,2024-01-13,Books,New York,SUCCESS
TXN056,ACC002,CUST002,CREDIT,1200.00,2024-01-10,Freelance Project,Los Angeles,SUCCESS
TXN057,ACC002,CUST002,DEBIT,345.60,2024-01-10,Hotel Booking,Los Angeles,SUCCESS
TXN058,ACC002,CUST002,DEBIT,89.90,2024-01-11,Concert Tickets,Los Angeles,SUCCESS
TXN059,ACC002,CUST002,DEBIT,234.50,2024-01-12,Restaurant,Los Angeles,SUCCESS
TXN060,ACC002,CUST002,DEBIT,67.80,2024-01-13,Transportation,Los Angeles,SUCCESS
TXN061,ACC003,CUST003,CREDIT,800.00,2024-01-10,Consulting Fee,Chicago,SUCCESS
TXN062,ACC003,CUST003,DEBIT,456.70,2024-01-10,Furniture Purchase,Chicago,SUCCESS
TXN063,ACC003,CUST003,DEBIT,123.40,2024-01-11,Home Improvement,Chicago,SUCCESS
TXN064,ACC003,CUST003,DEBIT,89.60,2024-01-12,Entertainment,Chicago,SUCCESS
TXN065,ACC003,CUST003,DEBIT,234.70,2024-01-13,Groceries,Chicago,SUCCESS
TXN066,ACC004,CUST004,CREDIT,600.00,2024-01-10,Stock Dividend,Houston,SUCCESS
TXN067,ACC004,CUST004,DEBIT,178.90,2024-01-10,Car Maintenance,Houston,SUCCESS
TXN068,ACC004,CUST004,DEBIT,345.60,2024-01-11,Insurance Payment,Houston,SUCCESS
TXN069,ACC004,CUST004,DEBIT,89.70,2024-01-12,Medical Expenses,Houston,SUCCESS
TXN070,ACC004,CUST004,DEBIT,456.80,2024-01-13,Vacation Booking,Houston,SUCCESS
TXN071,ACC005,CUST005,CREDIT,400.00,2024-01-10,Side Hustle,Phoenix,SUCCESS
TXN072,ACC005,CUST005,DEBIT,234.50,2024-01-10,Home Decor,Phoenix,SUCCESS
TXN073,ACC005,CUST005,DEBIT,67.80,2024-01-11,Fitness Equipment,Phoenix,SUCCESS
TXN074,ACC005,CUST005,DEBIT,123.90,2024-01-12,Beauty Products,Phoenix,SUCCESS
TXN075,ACC005,CUST005,DEBIT,89.60,2024-01-13,Subscription Services,Phoenix,SUCCESS
TXN076,ACC001,CUST001,CREDIT,250.00,2024-01-14,Cashback Bonus,New York,SUCCESS
TXN077,ACC001,CUST001,DEBIT,145.60,2024-01-14,Online Shopping,New York,SUCCESS
TXN078,ACC001,CUST001,DEBIT,78.90,2024-01-15,Food Delivery,New York,SUCCESS
TXN079,ACC001,CUST001,DEBIT,234.50,2024-01-16,Utility Bill,New York,SUCCESS
TXN080,ACC001,CUST001,DEBIT,56.70,2024-01-17,Pet Supplies,New York,SUCCESS
TXN081,ACC002,CUST002,CREDIT,180.00,2024-01-14,Refund,Los Angeles,SUCCESS
TXN082,ACC002,CUST002,DEBIT,345.70,2024-01-14,Clothing,Los Angeles,SUCCESS
TXN083,ACC002,CUST002,DEBIT,89.80,2024-01-15,Coffee,Los Angeles,SUCCESS
TXN084,ACC002,CUST002,DEBIT,123.40,2024-01-16,Gas Station,Los Angeles,SUCCESS
TXN085,ACC002,CUST002,DEBIT,456.90,2024-01-17,Electronics,Los Angeles,SUCCESS
TXN086,ACC003,CUST003,CREDIT,320.00,2024-01-14,Interest Payment,Chicago,SUCCESS
TXN087,ACC003,CUST003,DEBIT,67.90,2024-01-14,Public Transport,Chicago,SUCCESS
TXN088,ACC003,CUST003,DEBIT,234.60,2024-01-15,Groceries,Chicago,SUCCESS
TXN089,ACC003,CUST003,DEBIT,178.70,2024-01-16,Entertainment,Chicago,SUCCESS
TXN090,ACC003,CUST003,DEBIT,89.80,2024-01-17,Healthcare,Chicago,SUCCESS
TXN091,ACC004,CUST004,CREDIT,450.00,2024-01-14,Rental Income,Houston,SUCCESS
TXN092,ACC004,CUST004,DEBIT,123.50,2024-01-14,Home Supplies,Houston,SUCCESS
TXN093,ACC004,CUST004,DEBIT,456.70,2024-01-15,Car Repair,Houston,SUCCESS
TXN094,ACC004,CUST004,DEBIT,89.90,2024-01-16,Education,Houston,SUCCESS
TXN095,ACC004,CUST004,DEBIT,234.80,2024-01-17,Travel,Houston,SUCCESS
TXN096,ACC005,CUST005,CREDIT,280.00,2024-01-14,Gift Card,Phoenix,SUCCESS
TXN097,ACC005,CUST005,DEBIT,345.80,2024-01-14,Sports Equipment,Phoenix,SUCCESS
TXN098,ACC005,CUST005,DEBIT,67.90,2024-01-15,Streaming Services,Phoenix,SUCCESS
TXN099,ACC005,CUST005,DEBIT,123.50,2024-01-16,Office Supplies,Phoenix,SUCCESS
TXN100,ACC005,CUST005,DEBIT,178.90,2024-01-17,Personal Care,Phoenix,SUCCESS
TXN101,ACC001,CUST001,CREDIT,5000.00,2024-02-01,Salary Deposit,New York,SUCCESS
TXN102,ACC001,CUST001,DEBIT,1250.00,2024-02-02,Rent Payment,New York,SUCCESS
TXN103,ACC001,CUST001,DEBIT,234.50,2024-02-03,Insurance,New York,SUCCESS
TXN104,ACC001,CUST001,DEBIT,89.60,2024-02-04,Internet Bill,New York,SUCCESS
TXN105,ACC001,CUST001,DEBIT,45.00,2024-02-05,Phone Bill,New York,SUCCESS
TXN106,ACC002,CUST002,CREDIT,3200.00,2024-02-01,Salary Deposit,Los Angeles,SUCCESS
TXN107,ACC002,CUST002,DEBIT,1800.00,2024-02-02,Rent Payment,Los Angeles,SUCCESS
TXN108,ACC002,CUST002,DEBIT,345.70,2024-02-03,Car Insurance,Los Angeles,SUCCESS
TXN109,ACC002,CUST002,DEBIT,123.40,2024-02-04,Utilities,Los Angeles,SUCCESS
TXN110,ACC002,CUST002,DEBIT,67.80,2024-02-05,Groceries,Los Angeles,SUCCESS
TXN111,ACC003,CUST003,CREDIT,4800.00,2024-02-01,Freelance Payment,Chicago,SUCCESS
TXN112,ACC003,CUST003,DEBIT,1500.00,2024-02-02,Rent Payment,Chicago,SUCCESS
TXN113,ACC003,CUST003,DEBIT,456.70,2024-02-03,Health Insurance,Chicago,SUCCESS
TXN114,ACC003,CUST003,DEBIT,234.50,2024-02-04,Student Loan,Chicago,SUCCESS
TXN115,ACC003,CUST003,DEBIT,89.60,2024-02-05,Transportation,Chicago,SUCCESS
TXN116,ACC004,CUST004,CREDIT,6200.00,2024-02-01,Bonus Payment,Houston,SUCCESS
TXN117,ACC004,CUST004,DEBIT,1100.00,2024-02-02,Mortgage Payment,Houston,SUCCESS
TXN118,ACC004,CUST004,DEBIT,567.80,2024-02-03,Property Tax,Houston,SUCCESS
TXN119,ACC004,CUST004,DEBIT,123.40,2024-02-04,Home Maintenance,Houston,SUCCESS
TXN120,ACC004,CUST004,DEBIT,234.50,2024-02-05,Garden Supplies,Houston,SUCCESS
TXN121,ACC005,CUST005,CREDIT,2900.00,2024-02-01,Part-time Job,Phoenix,SUCCESS
TXN122,ACC005,CUST005,DEBIT,950.00,2024-02-02,Rent Payment,Phoenix,SUCCESS
TXN123,ACC005,CUST005,DEBIT,178.90,2024-02-03,Car Payment,Phoenix,SUCCESS
TXN124,ACC005,CUST005,DEBIT,345.60,2024-02-04,Home Insurance,Phoenix,SUCCESS
TXN125,ACC005,CUST005,DEBIT,67.80,2024-02-05,Utilities,Phoenix,SUCCESS
TXN126,ACC001,CUST001,CREDIT,200.00,2024-02-06,Investment Return,New York,SUCCESS
TXN127,ACC001,CUST001,DEBIT,456.70,2024-02-06,Furniture,New York,SUCCESS
TXN128,ACC001,CUST001,DEBIT,123.40,2024-02-07,Home Decor,New York,SUCCESS
TXN129,ACC001,CUST001,DEBIT,89.50,2024-02-08,Entertainment,New York,SUCCESS
TXN130,ACC001,CUST001,DEBIT,234.60,2024-02-09,Dining Out,New York,SUCCESS
TXN131,ACC002,CUST002,CREDIT,350.00,2024-02-06,Dividend Payment,Los Angeles,SUCCESS
TXN132,ACC002,CUST002,DEBIT,678.90,2024-02-06,Vacation Package,Los Angeles,SUCCESS
TXN133,ACC002,CUST002,DEBIT,234.50,2024-02-07,Flight Booking,Los Angeles,SUCCESS
TXN134,ACC002,CUST002,DEBIT,123.60,2024-02-08,Hotel,Los Angeles,SUCCESS
TXN135,ACC002,CUST002,DEBIT,456.70,2024-02-09,Tours,Los Angeles,SUCCESS
TXN136,ACC003,CUST003,CREDIT,600.00,2024-02-06,Stock Dividend,Chicago,SUCCESS
TXN137,ACC003,CUST003,DEBIT,345.70,2024-02-06,Professional Development,Chicago,SUCCESS
TXN138,ACC003,CUST003,DEBIT,178.80,2024-02-07,Conference Fee,Chicago,SUCCESS
TXN139,ACC003,CUST003,DEBIT,89.50,2024-02-08,Networking Event,Chicago,SUCCESS
TXN140,ACC003,CUST003,DEBIT,234.60,2024-02-09,Books,Chicago,SUCCESS
TXN141,ACC004,CUST004,CREDIT,800.00,2024-02-06,Business Income,Houston,SUCCESS
TXN142,ACC004,CUST004,DEBIT,456.80,2024-02-06,Office Equipment,Houston,SUCCESS
TXN143,ACC004,CUST004,DEBIT,123.40,2024-02-07,Software License,Houston,SUCCESS
TXN144,ACC004,CUST004,DEBIT,678.90,2024-02-08,Marketing,Houston,SUCCESS
TXN145,ACC004,CUST004,DEBIT,234.50,2024-02-09,Consulting,Houston,SUCCESS
TXN146,ACC005,CUST005,CREDIT,450.00,2024-02-06,Side Business,Phoenix,SUCCESS
TXN147,ACC005,CUST005,DEBIT,123.60,2024-02-06,Art Supplies,Phoenix,SUCCESS
TXN148,ACC005,CUST005,DEBIT,345.70,2024-02-07,Craft Materials,Phoenix,SUCCESS
TXN149,ACC005,CUST005,DEBIT,89.80,2024-02-08,Photography,Phoenix,SUCCESS
TXN150,ACC005,CUST005,DEBIT,234.50,2024-02-09,Workshop,Phoenix,SUCCESS
TXN151,ACC001,CUST001,CREDIT,150.00,2024-02-10,Cashback Reward,New York,SUCCESS
TXN152,ACC001,CUST001,DEBIT,567.80,2024-02-10,Electronics,New York,SUCCESS
TXN153,ACC001,CUST001,DEBIT,123.40,2024-02-11,Accessories,New York,SUCCESS
TXN154,ACC001,CUST001,DEBIT,89.50,2024-02-12,Apps,New York,SUCCESS
TXN155,ACC001,CUST001,DEBIT,45.60,2024-02-13,Music,New York,SUCCESS
TXN156,ACC002,CUST002,CREDIT,1200.00,2024-02-10,Freelance Project,Los Angeles,SUCCESS
TXN157,ACC002,CUST002,DEBIT,234.50,2024-02-10,Clothing,Los Angeles,SUCCESS
TXN158,ACC002,CUST002,DEBIT,678.90,2024-02-11,Shoes,Los Angeles,SUCCESS
TXN159,ACC002,CUST002,DEBIT,123.40,2024-02-12,Jewelry,Los Angeles,SUCCESS
TXN160,ACC002,CUST002,DEBIT,456.70,2024-02-13,Perfume,Los Angeles,SUCCESS
TXN161,ACC003,CUST003,CREDIT,800.00,2024-02-10,Consulting Fee,Chicago,SUCCESS
TXN162,ACC003,CUST003,DEBIT,345.60,2024-02-10,Home Improvement,Chicago,SUCCESS
TXN163,ACC003,CUST003,DEBIT,178.90,2024-02-11,Garden Tools,Chicago,SUCCESS
TXN164,ACC003,CUST003,DEBIT,89.70,2024-02-12,Plants,Chicago,SUCCESS
TXN165,ACC003,CUST003,DEBIT,234.50,2024-02-13,Outdoor Furniture,Chicago,SUCCESS
TXN166,ACC004,CUST004,CREDIT,600.00,2024-02-10,Investment Return,Houston,SUCCESS
TXN167,ACC004,CUST004,DEBIT,456.80,2024-02-10,Car Accessories,Houston,SUCCESS
TXN168,ACC004,CUST004,DEBIT,123.40,2024-02-11,Tires,Houston,SUCCESS
TXN169,ACC004,CUST004,DEBIT,678.90,2024-02-12,Auto Parts,Houston,SUCCESS
TXN170,ACC004,CUST004,DEBIT,234.50,2024-02-13,Maintenance,Houston,SUCCESS
TXN171,ACC005,CUST005,CREDIT,400.00,2024-02-10,Gift Payment,Phoenix,SUCCESS
TXN172,ACC005,CUST005,DEBIT,123.60,2024-02-10,Sports Gear,Phoenix,SUCCESS
TXN173,ACC005,CUST005,DEBIT,345.70,2024-02-11,Fitness,Phoenix,SUCCESS
TXN174,ACC005,CUST005,DEBIT,89.80,2024-02-12,Nutrition,Phoenix,SUCCESS
TXN175,ACC005,CUST005,DEBIT,234.50,2024-02-13,Wellness,Phoenix,SUCCESS
TXN176,ACC001,CUST001,CREDIT,250.00,2024-02-14,Refund,New York,SUCCESS
TXN177,ACC001,CUST001,DEBIT,178.90,2024-02-14,Travel,New York,SUCCESS
TXN178,ACC001,CUST001,DEBIT,456.70,2024-02-15,Hotel,New York,SUCCESS
TXN179,ACC001,CUST001,DEBIT,123.40,2024-02-16,Restaurant,New York,SUCCESS
TXN180,ACC001,CUST001,DEBIT,89.50,2024-02-17,Taxi,New York,SUCCESS
TXN181,ACC002,CUST002,CREDIT,180.00,2024-02-14,Cashback Bonus,Los Angeles,SUCCESS
TXN182,ACC002,CUST002,DEBIT,234.50,2024-02-14,Shopping,Los Angeles,SUCCESS
TXN183,ACC002,CUST002,DEBIT,678.90,2024-02-15,Entertainment,Los Angeles,SUCCESS
TXN184,ACC002,CUST002,DEBIT,123.40,2024-02-16,Concert,Los Angeles,SUCCESS
TXN185,ACC002,CUST002,DEBIT,456.70,2024-02-17,Theater,Los Angeles,SUCCESS
TXN186,ACC003,CUST003,CREDIT,320.00,2024-02-14,Interest Payment,Chicago,SUCCESS
TXN187,ACC003,CUST003,DEBIT,345.60,2024-02-14,Education,Chicago,SUCCESS
TXN188,ACC003,CUST003,DEBIT,178.90,2024-02-15,Courses,Chicago,SUCCESS
TXN189,ACC003,CUST003,DEBIT,89.70,2024-02-16,Tutoring,Chicago,SUCCESS
TXN190,ACC003,CUST003,DEBIT,234.50,2024-02-17,Books,Chicago,SUCCESS
TXN191,ACC004,CUST004,CREDIT,450.00,2024-02-14,Rental Income,Houston,SUCCESS
TXN192,ACC004,CUST004,DEBIT,123.40,2024-02-14,Home Repair,Houston,SUCCESS
TXN193,ACC004,CUST004,DEBIT,456.80,2024-02-15,Plumbing,Houston,SUCCESS
TXN194,ACC004,CUST004,DEBIT,678.90,2024-02-16,Electrical,Houston,SUCCESS
TXN195,ACC004,CUST004,DEBIT,234.50,2024-02-17,Painting,Houston,SUCCESS
TXN196,ACC005,CUST005,CREDIT,280.00,2024-02-14,Gift Card,Phoenix,SUCCESS
TXN197,ACC005,CUST005,DEBIT,345.70,2024-02-14,Hobbies,Phoenix,SUCCESS
TXN198,ACC005,CUST005,DEBIT,89.80,2024-02-15,Games,Phoenix,SUCCESS
TXN199,ACC005,CUST005,DEBIT,123.50,2024-02-16,Collectibles,Phoenix,SUCCESS
TXN200,ACC005,CUST005,DEBIT,178.90,2024-02-17,Toys,Phoenix,SUCCESS
TXN201,ACC001,CUST001,CREDIT,5500.00,2024-03-01,Salary Deposit,New York,SUCCESS
TXN202,ACC001,CUST001,DEBIT,1250.00,2024-03-02,Rent Payment,New York,SUCCESS
TXN203,ACC001,CUST001,DEBIT,345.60,2024-03-03,Tax Payment,New York,SUCCESS
TXN204,ACC001,CUST001,DEBIT,178.90,2024-03-04,Legal Fees,New York,SUCCESS
TXN205,ACC001,CUST001,DEBIT,89.50,2024-03-05,Accounting,New York,SUCCESS
TXN206,ACC002,CUST002,CREDIT,3200.00,2024-03-01,Salary Deposit,Los Angeles,SUCCESS
TXN207,ACC002,CUST002,DEBIT,1800.00,2024-03-02,Rent Payment,Los Angeles,SUCCESS
TXN208,ACC002,CUST002,DEBIT,456.70,2024-03-03,Investment,Los Angeles,SUCCESS
TXN209,ACC002,CUST002,DEBIT,234.50,2024-03-04,Financial Advisor,Los Angeles,SUCCESS
TXN210,ACC002,CUST002,DEBIT,123.40,2024-03-05,Banking Fees,Los Angeles,SUCCESS
TXN211,ACC003,CUST003,CREDIT,4800.00,2024-03-01,Freelance Payment,Chicago,SUCCESS
TXN212,ACC003,CUST003,DEBIT,1500.00,2024-03-02,Rent Payment,Chicago,SUCCESS
TXN213,ACC003,CUST003,DEBIT,678.90,2024-03-03,Home Renovation,Chicago,SUCCESS
TXN214,ACC003,CUST003,DEBIT,345.60,2024-03-04,Appliances,Chicago,SUCCESS
TXN215,ACC003,CUST003,DEBIT,178.90,2024-03-05,Tools,Chicago,SUCCESS
TXN216,ACC004,CUST004,CREDIT,6200.00,2024-03-01,Bonus Payment,Houston,SUCCESS
TXN217,ACC004,CUST004,DEBIT,1100.00,2024-03-02,Mortgage Payment,Houston,SUCCESS
TXN218,ACC004,CUST004,DEBIT,789.00,2024-03-03,Landscaping,Houston,SUCCESS
TXN219,ACC004,CUST004,DEBIT,456.70,2024-03-04,Patio,Houston,SUCCESS
TXN220,ACC004,CUST004,DEBIT,234.50,2024-03-05,Outdoor Equipment,Houston,SUCCESS
TXN221,ACC005,CUST005,CREDIT,2900.00,2024-03-01,Part-time Job,Phoenix,SUCCESS
TXN222,ACC005,CUST005,DEBIT,950.00,2024-03-02,Rent Payment,Phoenix,SUCCESS
TXN223,ACC005,CUST005,DEBIT,567.80,2024-03-03,Vehicle Upgrade,Phoenix,SUCCESS
TXN224,ACC005,CUST005,DEBIT,345.60,2024-03-04,Car Accessories,Phoenix,SUCCESS
TXN225,ACC005,CUST005,DEBIT,178.90,2024-03-05,Fuel,Phoenix,SUCCESS
TXN226,ACC001,CUST001,CREDIT,300.00,2024-03-06,Stock Dividend,New York,SUCCESS
TXN227,ACC001,CUST001,DEBIT,123.40,2024-03-06,Subscription,New York,SUCCESS
TXN228,ACC001,CUST001,DEBIT,89.50,2024-03-07,Cloud Storage,New York,SUCCESS
TXN229,ACC001,CUST001,DEBIT,45.60,2024-03-08,Software,New York,SUCCESS
TXN230,ACC001,CUST001,DEBIT,234.50,2024-03-09,Online Services,New York,SUCCESS
TXN231,ACC002,CUST002,CREDIT,500.00,2024-03-06,Investment Return,Los Angeles,SUCCESS
TXN232,ACC002,CUST002,DEBIT,678.90,2024-03-06,Luxury Items,Los Angeles,SUCCESS
TXN233,ACC002,CUST002,DEBIT,345.60,2024-03-07,Designer Clothes,Los Angeles,SUCCESS
TXN234,ACC002,CUST002,DEBIT,178.90,2024-03-08,Accessories,Los Angeles,SUCCESS
TXN235,ACC002,CUST002,DEBIT,89.50,2024-03-09,Cosmetics,Los Angeles,SUCCESS
TXN236,ACC003,CUST003,CREDIT,700.00,2024-03-06,Business Income,Chicago,SUCCESS
TXN237,ACC003,CUST003,DEBIT,456.70,2024-03-06,Office Supplies,Chicago,SUCCESS
TXN238,ACC003,CUST003,DEBIT,234.50,2024-03-07,Printing,Chicago,SUCCESS
TXN239,ACC003,CUST003,DEBIT,123.40,2024-03-08,Shipping,Chicago,SUCCESS
TXN240,ACC003,CUST003,DEBIT,89.60,2024-03-09,Postage,Chicago,SUCCESS
TXN241,ACC004,CUST004,CREDIT,900.00,2024-03-06,Rental Income,Houston,SUCCESS
TXN242,ACC004,CUST004,DEBIT,345.70,2024-03-06,Property Management,Houston,SUCCESS
TXN243,ACC004,CUST004,DEBIT,178.90,2024-03-07,Repairs,Houston,SUCCESS
TXN244,ACC004,CUST004,DEBIT,456.80,2024-03-08,Renovation,Houston,SUCCESS
TXN245,ACC004,CUST004,DEBIT,234.50,2024-03-09,Home Improvement,Houston,SUCCESS
TXN246,ACC005,CUST005,CREDIT,600.00,2024-03-06,Online Sales,Phoenix,SUCCESS
TXN247,ACC005,CUST005,DEBIT,123.60,2024-03-06,Digital Products,Phoenix,SUCCESS
TXN248,ACC005,CUST005,DEBIT,345.70,2024-03-07,Web Hosting,Phoenix,SUCCESS
TXN249,ACC005,CUST005,DEBIT,89.80,2024-03-08,Domain Names,Phoenix,SUCCESS
TXN250,ACC005,CUST005,DEBIT,234.50,2024-03-09,Marketing Tools,Phoenix,SUCCESS
TXN251,ACC001,CUST001,CREDIT,450.00,2024-03-10,Cashback Reward,New York,SUCCESS
TXN252,ACC001,CUST001,DEBIT,567.80,2024-03-10,Smart Home,New York,SUCCESS
TXN253,ACC001,CUST001,DEBIT,123.40,2024-03-11,Security System,New York,SUCCESS
TXN254,ACC001,CUST001,DEBIT,89.50,2024-03-12,Smart Devices,New York,SUCCESS
TXN255,ACC001,CUST001,DEBIT,234.60,2024-03-13,Home Automation,New York,SUCCESS
TXN256,ACC002,CUST002,CREDIT,800.00,2024-03-10,Bonus Payment,Los Angeles,SUCCESS
TXN257,ACC002,CUST002,DEBIT,345.60,2024-03-10,Fitness Equipment,Los Angeles,SUCCESS
TXN258,ACC002,CUST002,DEBIT,678.90,2024-03-11,Personal Trainer,Los Angeles,SUCCESS
TXN259,ACC002,CUST002,DEBIT,123.40,2024-03-12,Gym Membership,Los Angeles,SUCCESS
TXN260,ACC002,CUST002,DEBIT,456.70,2024-03-13,Yoga Classes,Los Angeles,SUCCESS
TXN261,ACC003,CUST003,CREDIT,1000.00,2024-03-10,Project Payment,Chicago,SUCCESS
TXN262,ACC003,CUST003,DEBIT,234.50,2024-03-10,Software Tools,Chicago,SUCCESS
TXN263,ACC003,CUST003,DEBIT,567.80,2024-03-11,Computer Upgrade,Chicago,SUCCESS
TXN264,ACC003,CUST003,DEBIT,345.60,2024-03-12,Monitor,Chicago,SUCCESS
TXN265,ACC003,CUST003,DEBIT,178.90,2024-03-13,Keyboard,Chicago,SUCCESS
TXN266,ACC004,CUST004,CREDIT,1200.00,2024-03-10,Investment Return,Houston,SUCCESS
TXN267,ACC004,CUST004,DEBIT,456.80,2024-03-10,Real Estate,Houston,SUCCESS
TXN268,ACC004,CUST004,DEBIT,678.90,2024-03-11,Property Investment,Houston,SUCCESS
TXN269,ACC004,CUST004,DEBIT,234.50,2024-03-12,Legal Services,Houston,SUCCESS
TXN270,ACC004,CUST004,DEBIT,123.40,2024-03-13,Insurance Premium,Houston,SUCCESS
TXN271,ACC005,CUST005,CREDIT,750.00,2024-03-10,Freelance Work,Phoenix,SUCCESS
TXN272,ACC005,CUST005,DEBIT,345.70,2024-03-10,Photography Gear,Phoenix,SUCCESS
TXN273,ACC005,CUST005,DEBIT,567.80,2024-03-11,Camera Equipment,Phoenix,SUCCESS
TXN274,ACC005,CUST005,DEBIT,234.50,2024-03-12,Lighting,Phoenix,SUCCESS
TXN275,ACC005,CUST005,DEBIT,123.60,2024-03-13,Photo Editing Software,Phoenix,SUCCESS
TXN276,ACC001,CUST001,CREDIT,200.00,2024-03-14,Refund,New York,SUCCESS
